,neuroid,dataset,R,NC Normalized R,R Fischer,NC Normalized R Fischer,Noise Ceiling,Feature Intersection,Feature Union,Feature Mean,Feature Std,Alpha Mean,Alpha Median,Language T-Stat,PC1 Correlation,PC2 Correlation,Parcel Name,Participant
36,5038,langfroi12345all,-0.1089628518222719,-0.2141899252706708,-0.10961633927012285,-0.21547449542719366,0.5087207144994148,1,2,1.2,0.4,100000.0,100000.0,6.628038286940022,0.4284601592464001,0.0786332738369837,PSL,p5
37,5132,langfroi12345all,0.07334504096762892,0.2265464274189622,0.07502918188537089,0.23174836204400284,0.32375280335800105,1,2,1.2,0.4,20026.0,10.0,7.6981670706240815,0.1722540375521786,0.2597710535361576,STSvp,p5
38,5134,langfroi12345all,0.005085894300286414,0.008182862349641586,0.0051751287625870996,0.00832643460630639,0.6215299833937913,1,4,1.6,0.8,20062.0,100.0,5.427190993436958,0.1196022106361283,0.3739008909355118,STSvp,p5
39,5135,langfroi12345all,0.05360140154028063,0.12912584589561713,0.055764420230027374,0.13433656072723746,0.41510978045101043,1,2,1.8,0.4000000000000001,46000.0,10000.0,5.481890834005174,0.2713251597203882,0.1552452024094506,STSvp,p5
40,5136,langfroi12345all,-0.12828630129523372,-0.2531552412003065,-0.13141647543422466,-0.25933220616971164,0.5067495371100316,1,6,2.0,1.5491933384829668,22420.0,1000.0,5.79020632369862,0.5139409387869163,0.0079277687331448,STSvp,p5
41,5137,langfroi12345all,0.08827440670977015,0.14396047045931348,0.09013520678439896,0.14699511735368495,0.6131850391161268,1,4,2.2,1.16619037896906,60220.0,100000.0,6.354967524260229,0.5218928514079554,0.0119675499896135,STSdp,p5
42,5139,langfroi12345all,-0.052471908897776885,-0.09743183679265482,-0.05541228902601806,-0.10289164648475652,0.5385499301367234,1,8,2.6,1.9595917942265426,40420.0,1000.0,7.428376994390546,0.5057653828889084,0.2703597606921133,STSdp,p5
43,5141,langfroi12345all,0.04592219369810441,0.06619264728271466,0.046185177409402235,0.066571714279328,0.6937657818997124,1,4,2.6,1.019803902718557,20800.0,1000.0,7.682763450430085,0.5080341448347306,-0.1575144278144136,STSdp,p5
44,5142,langfroi12345all,-0.13927001392056287,-0.20049474483541965,-0.1394622786919287,-0.20077153145438142,0.6946317422677867,1,3,1.4,0.8,80200.0,100000.0,5.98441486652459,0.3125289532483857,-0.1478482541054389,STSdp,p5
45,5146,langfroi12345all,0.103497804427193,0.2009637615028131,0.10450218636724685,0.20291399004897231,0.5150073010837043,1,1,1.0,0.0,640.0,1000.0,5.670988432220764,0.3365498576980831,0.1539706565060978,STSdp,p5
46,5147,langfroi12345all,-0.09031018800280877,-0.17780230649876763,-0.09101931635258143,-0.17919843531857832,0.5079247270812807,1,2,1.2,0.4,100000.0,100000.0,5.381234716218361,0.3325136208373556,0.1054454214755566,STSdp,p5
47,5149,langfroi12345all,-0.16806667666921277,-0.2659436110783069,-0.171159006030806,-0.27083681925832104,0.6319635805040101,1,1,1.0,0.0,100000.0,100000.0,5.35914657951517,0.1758806678143521,0.2761436267640793,STSdp,p5
48,5492,langfroi12345all,-0.05476791506971039,-0.10266910806258975,-0.05507702953193009,-0.10324858066228518,0.5334410330741595,1,2,1.2,0.4,80020.0,100000.0,6.034769810220924,0.3027998928266562,0.3650259979850402,STSda,p5
49,5493,langfroi12345all,-0.011623203083004829,-0.01966214770737512,-0.013263192772796143,-0.022436401868553637,0.5911461583947442,1,22,5.2,8.4,100.0,100.0,7.475315278099741,0.5473783586982863,-0.0519875704770238,STSda,p5
50,5494,langfroi12345all,0.11676353814804882,0.2558953742812732,0.1185305243825408,0.2597678468955569,0.4562940556311328,1,2,1.4,0.4898979485566356,64.0,100.0,8.903614965042525,0.3012878313202409,0.0648493982167868,STSda,p5
51,5495,langfroi12345all,-0.10613939040374887,-0.22489134839964303,-0.10681223736207228,-0.22631699687141535,0.4719585309041499,1,4,1.6,0.8,80200.0,100000.0,10.95436619663946,0.2699607421409851,0.1938137056632493,STSva,p5
52,5504,langfroi12345all,-0.16765509965083208,-0.27212913434894503,-0.16956132302138172,-0.2752232180766918,0.6160865504237107,1,4,2.0,1.0954451150103321,62200.0,100000.0,8.73795569612758,0.384652842329119,-0.050814919854647,STSva,p5
53,5989,langfroi12345all,-0.14970635776943536,-0.3391169826116294,-0.15147110343434333,-0.34311450972989804,0.4414593354084103,1,8,2.4,2.8,60400.0,100000.0,6.661262949308189,0.1434431715295932,-0.1258329486500921,STV,p5
54,5990,langfroi12345all,-0.12227492473623025,-0.20426191129044172,-0.12339627533515525,-0.20613514259323912,0.59861833253076,1,1,1.0,0.0,100000.0,100000.0,7.909580152586493,0.2678629850003383,-0.1197370105743442,PGi,p5
55,6404,langfroi12345all,0.09610100439383126,0.15009646835631574,0.09732171948010902,0.15200305637248976,0.6402615960669773,1,1,1.0,0.0,40240.0,1000.0,5.220753806681384,0.5970089967696218,0.175098031683295,IFJp,p5
56,6694,langfroi12345all,0.21946089753133508,0.32780887805943637,0.2235253720989472,0.3338799862290355,0.6694781997074031,2,3,2.4,0.4898979485566356,4420.0,1000.0,4.332514027863764,0.3789540931750314,-0.2073453007724796,IFSa,p5
57,6705,langfroi12345all,-0.010575504783885956,-0.02323841603236715,-0.010428396770111504,-0.022915163639630795,0.45508716124008114,1,11,3.8,3.7094473981982814,40420.0,1000.0,3.5393624270789927,0.2666214330568508,0.265487519070976,47l,p5
58,6707,langfroi12345all,0.13949167050143135,0.3457060713865748,0.14178230368462785,0.3513830110626428,0.4034978903955935,1,73,22.8,18.616122045152157,20260.0,100.0,3.8037774284155352,0.3557776251830015,0.1284018025952958,47l,p5
59,6825,langfroi12345all,-0.022856936257757563,-0.03972146125241122,-0.023133082116057156,-0.04020135570925201,0.5754303980035496,1,3,1.8,0.7483314773547883,62200.0,100000.0,6.938054214534879,0.297058405059907,0.4241766667708874,STSdp,p5
60,6827,langfroi12345all,0.10541490660146224,0.17307252286610383,0.10635221150727832,0.1746114107708066,0.6090793897019439,1,8,3.0,2.5298221281347035,44020.0,10000.0,5.48875055129358,0.3645128089819469,0.3234703070928193,STSdp,p5
61,6828,langfroi12345all,-0.032095707499277815,-0.05025782942699722,-0.033672572608647706,-0.05272700128425815,0.6386210440285514,1,2,1.2,0.4000000000000001,100000.0,100000.0,5.386319479735993,0.6355314854769614,0.1306404229994862,STSdp,p5
