,neuroid_id,parc_lang,parc_glasser,parc_name_glasser,tstat_langloc_SN,top10_tstat_langloc_SN_parc_lang_int,ncsnr,nc,corr_SentPC1,corr_SentPC2
12811,12811,5,137,PHT,10.203198559033632,5,0.5455001896681785,47.165742466811,0.5090421227755237,-0.2615458666021564
12812,12812,5,130,STSvp,10.947577922704356,5,0.5018981418076194,43.042830852681305,0.0547734146145746,0.550798039227778
12813,12813,5,130,STSvp,11.172253491459568,5,0.4408335470157822,36.82891175623168,0.0046651815675327,0.5480071873935735
12819,12819,5,129,STSdp,10.51775560261983,5,0.5636640103801747,48.80069073471019,0.3613212641655518,0.6163814782278497
14511,14511,3,80,IFJp,9.78578823621309,3,0.6184172740846302,53.43031756139356,0.7184307722558945,0.1659182827536776
14512,14512,3,80,IFJp,8.346141935260466,3,0.549197412394607,47.5025215328978,0.688964856737227,0.237471156673303
14516,14516,3,12,55b,9.44418338693592,3,0.492909503640226,42.159063447483454,0.4961952000418041,0.1823346605580678
14981,14981,2,74,44,5.352032224873159,2,0.4567834229792861,38.49761808738181,0.4891465187218923,0.4320658731802365
14982,14982,2,74,44,5.532897043960126,2,0.4502764675030416,37.82048455331534,0.4875638184567882,0.4053864166500984
14983,14983,2,74,44,5.255620177555953,2,0.4598113872075671,38.81095746911536,0.5354756406628214,0.3466833340403871
14984,14984,2,74,44,5.386744302980248,2,0.409297912101948,33.447552531684515,0.4899618236778343,0.3975113687742168
15003,15003,1,75,45,7.814796172509914,1,0.4234121880734354,34.973460586322936,0.2331891753055637,0.5343828133804736
15010,15010,1,75,45,10.970359340652069,1,0.462427479364704,39.080759894551534,0.2251653059701323,0.6105365944016734
15011,15011,1,75,45,6.939904978065948,1,0.4346132486890498,36.17018673730648,0.3219232628817831,0.4147278818490033
15136,15136,5,25,PSL,10.677140368465196,5,0.4818991568666464,41.06138052770323,0.4211435793607774,0.538603092147717
15141,15141,5,25,PSL,11.686630355984065,5,0.5984945655840394,51.79764036524733,0.5872634988994963,0.5193243336259745
15209,15209,5,137,PHT,9.621435304722624,5,0.634784329519782,54.72764357519577,0.3878408539118686,-0.1391244501591012
15212,15212,5,139,TPOJ1,12.168347101593618,5,0.496947256523671,42.55744790557058,0.5024730335368119,0.2216396297436189
15213,15213,5,130,STSvp,10.59740550363692,5,0.4717811042028405,40.0383358009941,0.4426079123748483,0.0255258956070565
15214,15214,5,130,STSvp,10.72557365626252,5,0.4184910469575763,34.44360814876899,0.5250182729203634,0.1846931857060891
15216,15216,5,129,STSdp,13.020031914686642,5,0.529951549404572,45.72726891273381,0.4750223520382923,0.4807503652762365
15231,15231,5,125,A5,8.651142143827846,5,0.656360527071303,56.378117391366565,0.5158492249733917,0.4580208439657176
15581,15581,4,176,STSva,5.245421374022457,4,0.4089916171726234,33.414231878884515,-0.1675591853253853,0.3900047016385643
15583,15583,4,176,STSva,5.186035073074083,4,0.4310466740564405,35.7905727092373,-0.2050430592881148,0.4831253351737556
17005,17005,5,139,TPOJ1,8.975297219527162,5,0.4904770808416226,41.91798321384436,0.2922424367068304,-0.1325850137431267
17007,17007,5,139,TPOJ1,13.552383522858614,5,0.4757470561203528,40.44094371815167,0.2639044243223262,-0.0446109493243155
17008,17008,5,139,TPOJ1,12.915159521407658,5,0.4296940854338796,35.64625088721674,0.2877171870437306,-0.0443225485694469
17009,17009,5,139,TPOJ1,10.42595063268124,5,0.5248318751635223,45.24584726057472,0.3385857282164018,0.1269995682149156
17389,17389,4,128,STSda,5.20762877711444,4,0.4941319519141703,42.279914218069855,0.3367260568657518,0.4818728926576395
17390,17390,4,128,STSda,9.47302837178526,4,0.535251056367833,46.22155553286962,0.1822694462693015,0.5661114926119697
17392,17392,4,128,STSda,6.094307340807796,4,0.5015035246133073,43.00426856371788,0.0319920015178811,0.5345356667888568
17658,17658,3,12,55b,10.722375335216237,3,0.4968421936544118,42.54711052521063,0.5012004237338903,0.2867551701375597
17659,17659,3,12,55b,9.137696531679808,3,0.5784017517433285,50.090978139284495,0.5798769569406849,0.1779221807775992
19045,19045,3,80,IFJp,8.573277808350333,3,0.5608407969772724,48.54980416572448,0.6635187381660487,0.1877720654049197
19047,19047,3,80,IFJp,9.357414896020432,3,0.5618347050768076,48.63826447488288,0.6422670263540622,0.1873458276839055
19049,19049,3,79,IFJa,8.439266493683666,3,0.6097658326931066,52.72857992484353,0.5937443278201555,0.1810384549816999
19095,19095,3,73,8C,8.621264101821998,3,0.4965574316730239,42.51908441629836,0.0130888624705839,0.5694540546683676
19096,19096,3,73,8C,8.818404398849447,3,0.566712636615021,49.07026852076776,0.232083016384661,0.5589591826386672
19098,19098,3,73,8C,12.06359233084502,3,0.4155202637253332,34.12260030079544,0.2928104733312025,0.4495528575472035
19100,19100,3,73,8C,11.457905263474125,3,0.4075581555126083,33.25817983576509,0.3247720740462385,0.3090499722206759
19101,19101,3,73,8C,8.242480517406435,3,0.5218749304110629,44.96605401295137,0.2753893656093594,0.5896399603570681
19103,19103,3,73,8C,9.121781073211473,3,0.4275968175048689,35.42208928142725,0.401748174520547,0.4745429272472806
19110,19110,3,73,8C,8.63694350230128,3,0.5013604662192498,42.9902833904494,0.5168642348263509,0.5012872174198358
19111,19111,3,73,8C,9.834227484745089,3,0.4273306421160264,35.39360679461866,0.4969737015078076,0.518129210476591
20567,20567,1,75,45,7.021014522486611,1,0.4163004951496219,34.206990235222456,0.5032019075322739,0.2940237647674205
20574,20574,1,75,45,8.480811351315005,1,0.407958410327133,33.301771450113634,0.5769369783003782,0.1441868761501765
20933,20933,5,25,PSL,14.2926811501036,5,0.481797969194749,41.05121653771888,0.4336585840557875,0.5513470991330558
20934,20934,5,25,PSL,9.764319774013591,5,0.602419053605608,52.12392966180472,0.3122121001981663,0.6356218300054899
20935,20935,5,25,PSL,12.960310390938352,5,0.5756594624324373,49.85335742839882,0.4954994830764637,0.5417696525269485
20950,20950,5,28,STV,12.46553067622111,5,0.618583925934911,53.44372614814294,0.65808995088603,0.1294523671169556
20951,20951,5,28,STV,11.431037145106767,5,0.6053339079312213,52.36478862577333,0.6366673479499801,0.2197131264737178
21157,21157,5,130,STSvp,11.972604875256309,5,0.4484050021616646,37.624794770566766,0.4342695108324912,0.2046655434850377
