neuroid,participant,dataset,NC Normalized R,R,R Fischer,NC Normalized R Fischer,feature_indices
125885,p3,concrete,0.6391393949373682,0.396816622998341,0.3972793157609045,0.6398846388489569,"[   260   -354   -750   -785  -1125   1185   1218  -2291  -2579  -3524
   5299   5473   5511  -6399  -6439   6810   7376   7507  -8380  -8728
  -9454  -9508  -9542 -10313 -11087  11407  11478  11480  11606 -11767
  12735  14906 -16358  16384]"
21070,p3,concrete,0.6368418863813906,0.3862571816644491,0.3868804613093144,0.6378695192737259,"[     7    -84    132    260   -621   -770   -785   -870   1037   1298
   1922  -2291  -2579  -2822  -3412  -3769  -4374   5069  -5130   5299
  -5381   5511   5679  -6113   6137   6303  -6399  -6439   6810  -7283
   7370  -7405   7507  -7681  -8385   8635  -8728  -8800  -9450   9454
  -9508  -9542  -9770  -9838  10076 -11078 -11087  11160  11407  11480
  12257 -12321  12586 -12620  12735 -13868  14906  15514 -15995  16198
 -16358  16384]"
135273,p3,concrete,0.616676051984689,0.4058941449303706,0.4097059850059641,0.6224673907314385,"[   243    310   -785    827   1037  -1125   1178   1854   2009   2033
  -2579  -2822   3114  -3412  -3460  -3852  -4151  -4689  -4736   4789
  -4790   5408   5511  -5518  -6158  -6439  -6712  -7085  -7376  -7711
   7795   7894   8212  -8425  -9454  -9508  -9838  10009  10430  10617
  10807 -11087 -11136 -11306  11480  13564  13718 -14599  14906  15143
 -15189  15995  16198 -16206 -16358 -16384]"
125884,p3,concrete,0.60679228993462,0.3868652170726347,0.3922752534431662,0.6152778508303364,"[     7    174    243    285   -354    406   -750   -785    827   -859
   -928   1037  -1111  -1125   1185   1218   1386  -1476   1570  -1681
   1922   2009  -2064  -2291   2380   2409  -2579  -2605   2610   2616
  -2795  -2822  -2901   2987  -3316  -3322   3439   3488  -3587   3788
  -3888  -3964   4066   4075   4550  -4593  -4608   4789   4813  -4997
   5069   5299   5408   5472  -5483  -5490   5511   5547   5590  -5846
  -6399  -6439   6737   6810  -6906   6958   7179   7370  -7405  -7465
   7507  -7541  -8024   8053   8087   8291  -8380  -8728   8838   8972
  -9508  -9541  -9542  -9838  10009 -10141 -10252  10260 -10467  10795
 -11064 -11087 -11111 -11306  11478 -11539  11606  11756  11758 -11767
 -11887 -12301 -12342  12586  12638  12735 -12852  12874 -13212 -13297
  13718 -13856  14133 -14472 -14538 -14662  14737  14759  14906  15248
 -15324 -15387  15434 -15596  15631  15704  15995 -16120  16132 -16173
  16198  16253 -16358  16384]"
135276,p3,concrete,0.5829780750915137,0.4135473778096021,0.4216044142751428,0.5943360859547467,"[     7    219    243    260    310    513   -750   -785   -970   1037
   1178   1410   1607  -1685   1854  -1903  -2579  -2686   2768  -2901
   3114  -3322   3788  -3852   4066  -4316   4550  -4689   4789  -4790
   5329   5408   5511  -5590  -6113  -6158   6356  -6399  -6439  -6712
   6958  -7085   7376  -7405  -7465  -7507   7541   7711   7795  -7833
   8212   8359   8561  -8728   8750  -8873   9008   9340  -9454  -9508
  -9770  10225  10248  10430 -10467  10617 -11087  11101 -11136 -11306
  11480  11766 -11767 -12094  12342  12874 -12966 -13093  13538  13564
  13718 -13868 -14140 -14472 -14602  14906 -15189  15995  16198 -16206
  16384]"
61387,p3,concrete,0.567318621869812,0.3494507424549943,0.3532552894229305,0.5734951442818841,"[   260    310   -785    827   1037  -1125   1178   1330  -1587   2009
   2033  -2291  -2579  -2822   3114  -3412   3439  -3460  -3590   3788
  -3852  -3991  -4151  -4689  -4736   4789  -4790   5329   5408   5473
  -5490   5511  -5518  -6118  -6158  -6399  -6439  -6456  -6712   6717
   6737   6768  -7085   7406   7795  -8024   8106   8212  -8380  -8425
   8561  -8806   8838  -9542  -9754  -9838  10009  10260  10430  10617
  10807 -11087  11101 -11136 -11306  11480  11767  12121  12186 -12301
  12586  13538  13564  13718 -13856  14906 -15026  15143  15169 -15189
  15995  16198 -16206 -16358  16384]"
31244,p3,concrete,0.56402342929879,0.3977524350519055,0.4091979149902863,0.5802534213137317,"[   219    243    260    310    406    513   -750   -785    827   1037
  -1140   1178  -1371   1410  -1565   1570   1607  -1708  -2000  -2009
   2033  -2291  -2499  -2579  -2686   3114  -3322  -3412  -3590  -3852
  -3991   4066  -4073  -4151  -4258  -4316   4321   4550  -4593  -4689
   4789  -4790   5069  -5083   5141   5299   5408  -5435   5511  -5518
   5590   5727  -5986   5999  -6113  -6439  -6690  -6712   6737  -6788
   6958   7103   7406   7507   7517  -7541   7795  -8024  -8118   8212
   8322  -8425   8484   8750   9340  -9454  -9508  -9542  10137 -10153
  10225  10248  10430 -10615  10617  10807 -11087  11101 -11111 -11136
  11173 -11306 -11422  11480  11606  11754  11766 -11767  12122 -12301
 -12506 -12605 -13093 -13371 -13513  13564  13718 -14472  14670 -14735
  14837  14906  15011  15169 -15189 -15346  15596  15731  15995  16198
 -16358  16384]"
96737,p3,concrete,0.52278386630304,0.3250863340754598,0.3326073283456227,0.5348786671324286,"[  -202    243    285   -354    569   -749   -785   -859    940   -970
  -1032   1037  -1125   1218  -1257  -1397  -1685  -1752  -1786  -1903
   2009   2033   2054  -2291   2409   2452   2466  -2579   2768  -2901
   3439  -3524   4440  -4443   4550  -4593  -4685   4789  -4790   4861
  -4997   5069   5141   5299   5329  -5435  -5456  -5472  -5483  -5490
   5511  -5828   5929   5950  -6158   6241  -6289   6321  -6399   6438
  -6456   6538  -6717  -6745   6910   6958  -7085  -7405   7406   7441
  -7465  -7498  -7541   7544  -7851   8212   8359   8493  -8727  -8728
   8838  -8873   9008  -9307   9340  -9412  -9508  -9896  10009  10212
  10225 -10387  10430 -10467  10509  10574  10617 -10858 -11078  11128
 -11136 -11306  11606  11758  11766 -11767 -11815  11987  12186  12214
 -12252  12296 -12301  12344  12874 -13212  13362  13580  13640  13700
  13718  13825 -13856 -13860 -13868 -14317  14463 -14472  14906 -14956
  15142  15160 -15189 -15324  15596  15598 -15749 -15817  15995  16095
  16198 -16358  16384]"
5102,p3,concrete,0.5119051037012385,0.3448143954434908,0.3527116126079053,0.5236291669216888,"[   243    310   -785   1037  -1125   1178   1854   2033  -2291  -2579
  -2686   2768   3114   4440  -4443  -4589  -4689   4789  -4790   5141
   5473   5511  -6158  -6399  -6439  -6712   6958   7376   7406  -7465
   7507   7795  -7997   8212   8806   9340  -9450  -9454  -9508  -9838
  10430 -10586  10617 -11087 -11136 -11306  11480 -11767  12874  13564
  13718 -14001 -14472 -14792  14906 -15189  15995  16198 -16358  16384]"
61389,p3,concrete,0.5016727503566025,0.3011877656192461,0.3076377642602355,0.5124161766420915,"[   285   -354   -785   -970  -1032   1037  -1123  -1125   1178   1218
  -1903   1928   2033  -2254  -2291  -2579   2768   3114   3439  -3524
  -3578   3967   4440  -4443  -4589   4789  -4790  -4997   5069   5141
   5299   5511   5590   5679  -5828  -6158  -6289   6356  -6399  -6712
   6717   6958  -7405   7406  -7465   7507   7795  -8024   8212  -8380
   8806   8838   9008   9340   9450  -9508  -9542  -9697  10212  10430
 -10467  10574  10617 -11087  11101 -11111 -11136  11157 -11306 -11480
  11766 -11767 -11815  11987  12186 -12301  12874 -13250  13564  13700
  13718 -13856 -13860 -13868 -14001 -14317 -14792 -14906  14939 -15026
 -15189  15702  15995 -16007  16198 -16358  16384]"
61388,p3,concrete,0.4880732476439847,0.3005243176035975,0.3063405301531421,0.4975191978774974,"[   260    310   -354   -785   -970   1037  -1125   1178  -1587  -2254
  -2291  -2822   3114   3439   3788  -4689   4789  -4790   5511  -5518
   5679  -6118  -6158  -6399  -6439  -6456  -6712   6717   6958   7406
   7795  -8380   8561   8806   8838   9340  -9450   9454  -9542  -9838
  10006  10617  11101 -11306  11480 -11815  12186 -12301  13564  13718
 -14001 -14835  14906 -15026  15143 -15523  15995  16198 -16358  16384]"
125883,p3,concrete,0.4791838743369881,0.3243340649216434,0.3316302523311811,0.4899635479171768,"[   243    285    310   -354   -749   -750   -785    827   -859    940
   1037  -1125   1185   1218   1570  -1706   1922  -2064  -2116  -2291
   2383  -2579   2616  -2822  -3316   3439  -3488  -3524  -3888   4066
   4075  -4443  -4593   4608   4789  -4790  -4997   5069   5141   5299
   5408  -5490   5511  -6118  -6399   6438  -6439   6958  -7020   7370
   7507  -7541   7890  -8024   8053   8212  -8728   8838  -8873   8972
   9008  -9508   9663   9668  10009  10260  10430 -10467  10509  10617
 -11078 -11087 -11264  11384 -11480  11604  11606 -11815  11987 -12220
  12780  12874 -13212  13718 -13868  14133 -14472  14737  14906 -15682
 -15749 -16173  16198 -16358  16384]"
54295,p3,concrete,0.4706222309234653,0.277413525324067,0.2814027565224261,0.4773898205139443,"[   100   -886   1125   2230   2342  -2383  -4790   4853   5679   7507
  -9454  10076 -10543 -11360 -12851 -13390 -14001  14768 -16358  16384]"
115952,p3,concrete,0.4691918011921847,0.2677769720019201,0.2686723257819822,0.4707606166494323,"[   100   1922   2342  -2383  -4790   4853   5679  -6604   7507  -9454
  10076  10543 -11360 -12851  13390 -15143 -16358 -16384]"
