neuroid,dataset,R,NC Normalized R,R Fischer,NC Normalized R Fischer,Noise Ceiling,Feature Intersection,Feature Union,Feature Mean,Feature Std,Alpha Mean,Alpha Median,Language T-Stat,PC1 Correlation,PC2 Correlation,Parcel Name,Participant,Featurizer,neuroid_id,top10_tstat_langloc_SN_parc_lang_int,fROI
101088,langfroi12345,0.3728088995548114,0.5894022656019622,0.3855333563703914,0.6095193381413063,0.6325203028767765,4,24,10.6,5.748043145279966,460.0,100.0,7.276124580346286,0.1937916088821698,-0.3838559500325409,TPOJ1,p4,Matryoshka,101088,5,PostTemp
101090,langfroi12345,0.2669372390952844,0.4277700055771505,0.2758361237608733,0.4420305709292577,0.6240204680436411,5,47,20.2,7.138627319029899,100.0,100.0,7.190290946883746,0.1741337533088847,-0.3036528318020938,TPOJ2,p4,Matryoshka,101090,5,PostTemp
101091,langfroi12345,0.3178854472400413,0.499332655426001,0.3250016091299229,0.510510682113812,0.6366205850663628,6,64,29.4,7.83836717690617,280.0,100.0,7.052636841110199,0.1630211929870246,-0.2329221556190486,TPOJ2,p4,Matryoshka,101091,5,PostTemp
101092,langfroi12345,0.3388240744779929,0.5924861535298318,0.3399401271955752,0.5944377438434647,0.5718683423391312,2,48,20.0,12.280065146407,280.0,100.0,6.776118110226364,0.1372519345828268,-0.1709990670867616,TPOJ2,p4,Matryoshka,101092,5,PostTemp
104324,langfroi12345,0.4462435943279296,0.7797789649125457,0.4494056650234344,0.785304458712932,0.5722693409381426,7,136,52.8,24.67711490429949,82.0,100.0,5.645628599612147,-0.0152440452706834,-0.0120637735507778,STV,p4,Matryoshka,104324,5,PostTemp
111749,langfroi12345,0.3084727250228206,0.5112202131268468,0.3122972207875783,0.5175584057168643,0.6034047893686877,8,85,35.6,19.5816240388789,64.0,100.0,5.329104819720521,0.0667507964522307,0.3508349616897662,TPOJ2,p4,Matryoshka,111749,5,PostTemp
111883,langfroi12345,0.2773800975886798,0.4705428430428511,0.2834638434308016,0.4808632052093795,0.5894895686755127,5,62,26.6,10.248902380255164,280.0,100.0,7.486704495154134,0.3118364261531275,0.0443507156914495,STSdp,p4,Matryoshka,111883,5,PostTemp
111886,langfroi12345,0.2974897080310171,0.4627814274388888,0.3059247216537851,0.4759031171627029,0.642829833680612,3,50,21.0,11.260550608207398,82.0,100.0,7.131516389354225,0.3109364147978928,0.0685339059046819,STSdp,p4,Matryoshka,111886,5,PostTemp
111887,langfroi12345,0.3386584701032917,0.5526867931124156,0.3430929727797996,0.5599238513279685,0.6127493443368911,6,71,24.4,20.587374771932435,100.0,100.0,6.666592494758409,0.3422037018459081,0.0532237402958345,STSdp,p4,Matryoshka,111887,5,PostTemp
111918,langfroi12345,0.134524859897681,0.2185907459954248,0.1396932716765452,0.2269889482846728,0.6154188242740006,1,22,10.2,5.418486873657627,46.0,10.0,5.319997374359879,0.4800522302242224,0.135151697984315,STSdp,p4,Matryoshka,111918,5,PostTemp
